pick,utc,lat,lon,dep,n_pha,mag,cluster
2022165T170716,2022-06-14T17:07:15.400000Z,61.005688,-138.713851,8.281,18,1.059487342118002,
2022166T123039,2022-06-15T12:30:38.930000Z,61.160396,-139.990576,7.666,44,1.2457547248236076,
2022166T201222,2022-06-15T20:12:22.000000Z,61.159985,-139.990869,7.649,35,1.121957475320431,
2022167T060026,2022-06-16T06:00:26.210000Z,61.479281,-140.440495,9.025,67,2.901684755171527,
2022167T075520,2022-06-16T07:55:19.270000Z,61.454993,-140.144092,0.823,35,1.107897053293636,
2022168T065420,2022-06-17T06:54:19.190000Z,60.981254,-138.551383,9.13,30,1.1841667663054956,
2022168T122904,2022-06-17T12:29:03.800000Z,61.376778,-139.961979,10.362,7,0.9001139958494166,
2022168T124403,2022-06-17T12:44:02.750000Z,61.387862,-139.946989,8.707,35,1.1271681694889832,
2022168T183853,2022-06-17T18:38:53.200000Z,61.264819,-139.292432,7.77,20,1.1716097430468015,2.0
2022171T061210,2022-06-20T06:12:08.590000Z,61.394934,-140.201595,0.664,58,2.014271269364043,
2022171T121507,2022-06-20T12:15:09.750000Z,60.998539,-138.673193,9.837,21,1.394176360893971,
2022171T121710,2022-06-20T12:17:13.470000Z,61.035881,-138.578825,9.665,5,0.5667527324280118,
2022171T121728,2022-06-20T12:17:31.080000Z,60.998535,-138.675684,9.583,79,3.061650973995368,
2022171T122340,2022-06-20T12:23:42.740000Z,60.998958,-138.674023,9.823,14,0.9980269762154514,
2022171T122727,2022-06-20T12:27:29.150000Z,60.998539,-138.672607,9.838,11,0.8282467753987423,
2022172T125827,2022-06-21T12:58:26.900000Z,60.852572,-139.854622,6.473,78,2.0047776776330504,
2022172T160652,2022-06-21T16:06:51.980000Z,60.853011,-139.855225,6.505,48,1.1057893498638092,
2022174T051634,2022-06-23T05:16:34.320000Z,61.364701,-139.866715,7.586,53,1.405040772971056,
2022174T120629,2022-06-23T12:06:28.080000Z,61.394722,-140.201107,0.686,31,1.2229556801770256,
2022175T161634,2022-06-24T16:16:32.979999Z,61.487203,-140.579801,5.779,56,1.5965684476990352,
2022176T041459,2022-06-25T04:14:58.580000Z,61.357515,-139.855908,12.661,40,1.3640629682590308,
