utc,lat,lon,dep
2010-01-01T02:06:33.390000Z,59.916,-141.4838,10.08
2010-01-01T02:52:22.160000Z,59.9036,-141.6113,0.7
2010-01-01T03:49:24.060000Z,60.9625,-143.2667,36.09
2010-01-01T06:33:53.180000Z,60.1706,-142.2189,14.05
2010-01-01T10:53:58.380000Z,59.9416,-141.4181,15.04
2010-01-01T19:38:26.180000Z,60.3252,-142.3368,33.48
2010-01-01T20:48:54.620000Z,60.6008,-142.7283,15.0
2010-01-01T21:44:14.370000Z,60.5612,-142.6399,26.02
2010-01-02T00:19:06.730000Z,59.9682,-141.0101,18.66
2010-01-02T05:18:57.340000Z,60.262,-142.207,32.39
2010-01-02T05:19:56.660000Z,60.3074,-141.7561,12.91
2010-01-02T09:17:37.280000Z,59.8758,-141.3454,1.86
2010-01-02T09:42:13.400000Z,59.8985,-141.3205,10.62
2010-01-02T11:29:42.060000Z,60.6029,-141.7789,20.0
2010-01-02T12:57:22.680000Z,60.5857,-140.051,16.98
2010-01-02T17:31:58.650000Z,59.9517,-142.1232,32.64
2010-01-02T20:08:32.250000Z,60.3014,-141.7878,13.83
2010-01-03T09:13:48.340000Z,60.3763,-141.4713,14.59
2010-01-03T13:20:58.820000Z,60.2969,-141.8233,15.71
2010-01-03T23:43:59.070000Z,60.3364,-141.9841,10.15
2010-01-04T19:22:19.670000Z,60.1863,-140.7936,12.34
2010-01-04T22:48:07.530000Z,60.2217,-141.7744,13.11
2010-01-05T11:21:41.890000Z,61.2803,-141.5326,8.68
2010-01-05T11:23:59.800000Z,61.4927,-141.1642,9.07
2010-01-06T06:12:56.160000Z,60.59,-142.6696,14.65
2010-01-06T13:14:04.780000Z,60.5776,-143.0206,22.57
2010-01-06T19:20:48.860000Z,60.3601,-141.2504,14.05
2010-01-07T05:47:28.390000Z,60.5959,-141.4463,25.55
2010-01-07T05:47:55.290000Z,60.6226,-141.3368,22.47
2010-01-07T06:37:36.110000Z,59.9024,-141.6467,11.32
2010-01-07T09:30:45.820000Z,59.5062,-142.2784,96.46
2010-01-07T16:40:51.310000Z,60.1163,-141.4441,13.41
2010-01-08T07:59:09.580000Z,61.0789,-140.8281,11.15
2010-01-08T10:15:32.350000Z,59.9045,-141.2611,17.11
2010-01-08T16:47:16.570000Z,60.3005,-142.9179,13.47
